claim_group,figure_or_table_candidate,result_id,experiment,backbone,model_size,task,target,reward,policy,probe,feature_set,level,layer,timestep,horizon,K,n_problem,n_state,n_candidate,n_example,metric,baseline,hidden,delta,ci_low,ci_high,p_value,stat_method,folds_seeds,multiple_testing,status,strength,paper_use,source_path,source_key,script_path,notes
temporal_state_future_utility,Figure 2,VREAD_T3_R2,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.55625,completion,8,800,,,,R2,0.3832602734,0.5116922691,0.1284319957,0.06790178517,0.1891327967,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[3],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T3_AUC,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.55625,completion,8,800,,,,AUC,0.8496732026,0.9035169623,0.05384375973,0.02428165296,0.08584811074,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[3],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T4_R2,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.7125,completion,8,770,,,,R2,0.4585201775,0.535881545,0.07736136753,0.01077805988,0.1417519932,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[4],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T4_AUC,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.7125,completion,8,770,,,,AUC,0.8605599647,0.890542328,0.02998236332,-0.005656939632,0.06682124047,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[4],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T5_R2,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.85625,completion,8,441,,,,R2,0.4909734078,0.6229265948,0.131953187,0.07241892184,0.1935474364,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[5],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
temporal_state_future_utility,Figure 2,VREAD_T5_AUC,Nemotron temporal readout,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,Nemotron diffusion decoding,linear probe,layer-18 H_m,state,18,0.85625,completion,8,441,,,,AUC,0.9123533471,0.9510006901,0.038647343,0.009208152355,0.07470273719,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,six pre-existing record points; layer fixed from validation,POST_HOC_AUDIT_VALID_CURRENT,STRONG_SUPPORT,Figure 2,data/v_audit.json; data/v_readout_results.json,per_point[5],iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
selective_generation,Figure 4,SELECTIVE_COV_70,Nemotron selective generation,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,abort at 40% generation progress,linear probe,layer-18 H_m,prompt/state,18,0.4,completion,8,800,,,,retained accuracy,0.7486979167,0.7722981771,0.02360026042,0.0025,0.0423,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,,POST_HOC_PRACTICAL_ANALYSIS,STRONG_SUPPORT,Figure 4,data/v_readout_results.json; iclr_direction1/VREAD_INDEPENDENT_RECOMPUTE.log,selective coverage=0.7,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Coverage=70%; compute saved=18% under the explicit 40%-progress abort accounting convention.
selective_generation,Figure 4,SELECTIVE_COV_50,Nemotron selective generation,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,abort at 40% generation progress,linear probe,layer-18 H_m,prompt/state,18,0.4,completion,8,800,,,,retained accuracy,0.8078324226,0.8690801457,0.06124772313,0.0247,0.0926,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,,POST_HOC_PRACTICAL_ANALYSIS,STRONG_SUPPORT,Figure 4,data/v_readout_results.json; iclr_direction1/VREAD_INDEPENDENT_RECOMPUTE.log,selective coverage=0.5,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Coverage=50%; compute saved=30% under the explicit 40%-progress abort accounting convention.
selective_generation,Figure 4,SELECTIVE_COV_30,Nemotron selective generation,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,abort at 40% generation progress,linear probe,layer-18 H_m,prompt/state,18,0.4,completion,8,800,,,,retained accuracy,0.820668693,0.9000759878,0.07940729483,0.0299,0.1368,,"prompt-cluster bootstrap, 10,000 resamples",held-out prompts; K=8,,POST_HOC_PRACTICAL_ANALYSIS,STRONG_SUPPORT,Figure 4,data/v_readout_results.json; iclr_direction1/VREAD_INDEPENDENT_RECOMPUTE.log,selective coverage=0.3,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Coverage=30%; compute saved=42% under the explicit 40%-progress abort accounting convention.
selective_generation,Figure 4,SELECTIVE_AURC,Nemotron selective generation,Nemotron-Diffusion-3B,3B,GSM8K,V_reward,task correctness,selective generation,linear probe,layer-18 H_m,prompt/state,18,,,8,800,,,,AURC,0.7722455238,0.818610922,0.04636539827,0.0171,0.0812,,"prompt-cluster bootstrap, 10,000 resamples",,,POST_HOC_PRACTICAL_ANALYSIS,STRONG_SUPPORT,Figure 4,data/v_readout_results.json; iclr_direction1/VREAD_INDEPENDENT_RECOMPUTE.log,aurc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
candidate_pathll,Figure 3 / Table 2,PATHLL_MDLM_ANCESTRAL_A_PERTOK_D_R2,state-centered candidate Path-LL readout,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,ancestral,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,9,,16,24,400,2400,14400,14400,within-state R2,0,0.005531771441,0.005531771441,0.003314648843,0.007748894039,7.374884287e-06,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 50/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,STRONG_SUPPORT,Table 2; main text,data/estimate_all.json,MDLM_ancestral/A_pertok/cheap+h_local(3layers)/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_MDLM_ANCESTRAL_A_PERTOK_D_CONC,state-centered candidate Path-LL readout,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,ancestral,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,9,,16,24,400,2400,14400,14400,pairwise concordance,0,0.003304444444,0.003304444444,0.0006880301031,0.005920858786,0.0143776869,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 46/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,SUPPORTING,Table 2 / Appendix,data/estimate_all.json,MDLM_ancestral/A_pertok/cheap+h_local(3layers)/d_conc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_MDLM_ANCESTRAL_A_FUTURE_D_R2,state-centered candidate Path-LL readout,MDLM,169.6M,OpenWebText continuations,A_future,Path-LL,ancestral,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,9,,16,24,400,2400,14400,14400,within-state R2,0,0.009968475762,0.009968475762,0.005739780613,0.01419717091,1.892748085e-05,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 49/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,STRONG_SUPPORT,Table 2; main text,data/estimate_all.json,MDLM_ancestral/A_future/cheap+h_local(3layers)/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_MDLM_ANCESTRAL_A_FUTURE_D_CONC,state-centered candidate Path-LL readout,MDLM,169.6M,OpenWebText continuations,A_future,Path-LL,ancestral,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,9,,16,24,400,2400,14400,14400,pairwise concordance,0,0.004824444444,0.004824444444,0.00074108611,0.008907802779,0.02154425443,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 47/49 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,SUPPORTING,Table 2 / Appendix,data/estimate_all.json,MDLM_ancestral/A_future/cheap+h_local(3layers)/d_conc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_MDLM_CONFIDENCE_A_PERTOK_D_R2,state-centered candidate Path-LL readout,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,confidence,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,8,,16,24,400,2400,14400,14400,within-state R2,0,0.01045105698,0.01045105698,0.007326554533,0.01357555943,1.790152471e-08,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 50/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,STRONG_SUPPORT,Table 2; main text,data/estimate_all.json,MDLM_confidence/A_pertok/cheap+h_local(3layers)/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_MDLM_CONFIDENCE_A_PERTOK_D_CONC,state-centered candidate Path-LL readout,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,confidence,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,8,,16,24,400,2400,14400,14400,pairwise concordance,0,0.003162222222,0.003162222222,-0.0006818323832,0.007006276828,0.1046981876,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 42/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,NEGATIVE_BOUNDARY,Table 2 / Appendix,data/estimate_all.json,MDLM_confidence/A_pertok/cheap+h_local(3layers)/d_conc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_MDLM_CONFIDENCE_A_FUTURE_D_R2,state-centered candidate Path-LL readout,MDLM,169.6M,OpenWebText continuations,A_future,Path-LL,confidence,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,8,,16,24,400,2400,14400,14400,within-state R2,0,0.0190168262,0.0190168262,0.01353992801,0.02449372438,7.184792761e-09,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 50/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,STRONG_SUPPORT,Table 2; main text,data/estimate_all.json,MDLM_confidence/A_future/cheap+h_local(3layers)/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_MDLM_CONFIDENCE_A_FUTURE_D_CONC,state-centered candidate Path-LL readout,MDLM,169.6M,OpenWebText continuations,A_future,Path-LL,confidence,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,8,,16,24,400,2400,14400,14400,pairwise concordance,0,0.006028888889,0.006028888889,0.0001804016399,0.01187737614,0.04359228154,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 46/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,SUPPORTING,Table 2 / Appendix,data/estimate_all.json,MDLM_confidence/A_future/cheap+h_local(3layers)/d_conc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_SEDD_ANCESTRAL_A_PERTOK_D_R2,state-centered candidate Path-LL readout,SEDD,169.6M,OpenWebText continuations,A_pertok,Path-LL,ancestral,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,9,,16,24,400,2400,14400,14400,within-state R2,0,0.01143453677,0.01143453677,0.008006448789,0.01486262475,1.913994851e-08,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 50/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,STRONG_SUPPORT,Table 2; main text,data/estimate_all.json,SEDD_ancestral/A_pertok/cheap+h_local(3layers)/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_SEDD_ANCESTRAL_A_PERTOK_D_CONC,state-centered candidate Path-LL readout,SEDD,169.6M,OpenWebText continuations,A_pertok,Path-LL,ancestral,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,9,,16,24,400,2400,14400,14400,pairwise concordance,0,0.001253333333,0.001253333333,-0.00306667396,0.005573340627,0.5625509795,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 35/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,NEGATIVE_BOUNDARY,Table 2 / Appendix,data/estimate_all.json,SEDD_ancestral/A_pertok/cheap+h_local(3layers)/d_conc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_SEDD_ANCESTRAL_A_FUTURE_D_R2,state-centered candidate Path-LL readout,SEDD,169.6M,OpenWebText continuations,A_future,Path-LL,ancestral,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,9,,16,24,400,2400,14400,14400,within-state R2,0,0.02318628087,0.02318628087,0.01737016254,0.02900239921,1.836160113e-10,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 50/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,STRONG_SUPPORT,Table 2; main text,data/estimate_all.json,SEDD_ancestral/A_future/cheap+h_local(3layers)/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll,Figure 3 / Table 2,PATHLL_SEDD_ANCESTRAL_A_FUTURE_D_CONC,state-centered candidate Path-LL readout,SEDD,169.6M,OpenWebText continuations,A_future,Path-LL,ancestral,ridge linear probe,cheap + h_local (3 validation-fixed layers),candidate within state,9,,16,24,400,2400,14400,14400,pairwise concordance,0,0.009273333333,0.009273333333,0.003803873928,0.01474279274,0.001319834044,50 repeated document splits; Nadeau-Bengio corrected t interval,50 splits; 50/50 positive,BH-FDR saved in source; layers selected once on validation seed 99,POST_HOC_RESCUE_VALID_CURRENT,SUPPORTING,Table 2 / Appendix,data/estimate_all.json,SEDD_ancestral/A_future/cheap+h_local(3layers)/d_conc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS. Repeated splits are dependent; corrected interval is authoritative.
candidate_pathll_fairtest,Appendix,FAIR_ARM1_ANCESTRAL_A_PERTOK_S0_D_R2,candidate Path-LL fair-split audit,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,arm1 ancestral,ridge linear probe,cheap + h_local,candidate within state,9,,16,24,400,2400,14400,14400,within-state R2,0,0.006528952615,0.006528952615,0.003371735896,0.009661822373,,"document-cluster bootstrap, 10,000 resamples",split seed 0; 100 test documents,,POST_HOC_AUDIT,SUPPORTING,Appendix,rescue_audit/results/A_fairtest_corrected_ci.json,arm1 ancestral/A_pertok/seed=0/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
candidate_pathll_fairtest,Appendix,FAIR_ARM1_ANCESTRAL_A_PERTOK_S0_D_CONC,candidate Path-LL fair-split audit,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,arm1 ancestral,ridge linear probe,cheap + h_local,candidate within state,9,,16,24,400,2400,14400,14400,pairwise concordance,0,0.005333333333,0.005333333333,0.001444444444,0.009333333333,,"document-cluster bootstrap, 10,000 resamples",split seed 0; 100 test documents,,POST_HOC_AUDIT,SUPPORTING,Appendix,rescue_audit/results/A_fairtest_corrected_ci.json,arm1 ancestral/A_pertok/seed=0/d_conc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
candidate_pathll_fairtest,Appendix,FAIR_ARM1_ANCESTRAL_A_PERTOK_S1_D_R2,candidate Path-LL fair-split audit,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,arm1 ancestral,ridge linear probe,cheap + h_local,candidate within state,8,,16,24,400,2400,14400,14400,within-state R2,0,0.001269306662,0.001269306662,-0.003573615392,0.005942171574,,"document-cluster bootstrap, 10,000 resamples",split seed 1; 100 test documents,,POST_HOC_AUDIT,NEGATIVE_BOUNDARY,Appendix,rescue_audit/results/A_fairtest_corrected_ci.json,arm1 ancestral/A_pertok/seed=1/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
candidate_pathll_fairtest,Appendix,FAIR_ARM1_ANCESTRAL_A_PERTOK_S1_D_CONC,candidate Path-LL fair-split audit,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,arm1 ancestral,ridge linear probe,cheap + h_local,candidate within state,8,,16,24,400,2400,14400,14400,pairwise concordance,0,0.005,0.005,0.0006666666667,0.009444444444,,"document-cluster bootstrap, 10,000 resamples",split seed 1; 100 test documents,,POST_HOC_AUDIT,SUPPORTING,Appendix,rescue_audit/results/A_fairtest_corrected_ci.json,arm1 ancestral/A_pertok/seed=1/d_conc,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
candidate_pathll_fairtest,Appendix,FAIR_ARM1_ANCESTRAL_A_PERTOK_S2_D_R2,candidate Path-LL fair-split audit,MDLM,169.6M,OpenWebText continuations,A_pertok,Path-LL,arm1 ancestral,ridge linear probe,cheap + h_local,candidate within state,8,,16,24,400,2400,14400,14400,within-state R2,0,0.003923874407,0.003923874407,0.000410518274,0.007415047051,,"document-cluster bootstrap, 10,000 resamples",split seed 2; 100 test documents,,POST_HOC_AUDIT,SUPPORTING,Appendix,rescue_audit/results/A_fairtest_corrected_ci.json,arm1 ancestral/A_pertok/seed=2/d_r2,iclr_direction1/build_iclr_evidence.py,RECOMPUTED_FROM_SAVED_METRICS.
